id,isdeleted,name,currencyisocode,setupownerid,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,lastvieweddate,lastreferenceddate,classname__c,displayname__c,keyname__c,rtype__c,storefront__c,
a9Y3B000000CcCVUA0,false,CHStore:SUBSDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCWUA0,false,CHStore:SUBSService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCXUA0,false,CHStore:TaxCalculationApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,c.cc_jci_ctrl_TaxCalculation,,,,,
a9Y3B000000CcCYUA0,false,CHStore:UsrItfApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_UserInterface:v001,,,,,
a9Y3B000000CcCZUA0,false,CHStore:UsrItfDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCaUAK,false,CHStore:UsrItfService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCbUAK,false,DefaultStore:adjustApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_api_PriceAdjustment,,,,,
a9Y3B000000CcCcUAK,false,DefaultStore:adjustDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcE4UAK,false,IRStore:TaxCalculationApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,c.cc_jci_ctrl_TaxCalculation,,,,,
a9Y3B000000CcE5UAK,false,IRStore:UsrItfApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,cc_hk_UserInterface:v001,,,,,
a9Y3B000000CcE6UAK,false,IRStore:UsrItfDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,,,,,,
a9Y3B000000CcE7UAK,false,IRStore:UsrItfService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,005G0000007ZFITIA4,2017-03-01 05:34:56,,,,,,,,
a9Y3B000000CcBDUA0,false,ccLogicOrderGetOrdersToSplit:LOGSPL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderGetOrdersToSplit,,LOGSPL,lreg,,
a9Y3B000000CcBEUA0,false,ccLogicOrderHistory:LOH,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderHistory,,LOH,lreg,,
a9Y3B000000CcBFUA0,false,ccLogicOrderReOrder:LORE,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderReOrder,,LORE,lreg,,
a9Y3B000000CcBGUA0,false,ccLogicOrderSplitOrder:LOSPL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicOrderSplitOrder,,LOSPL,lreg,,
a9Y3B000000CcBHUA0,false,ccLogicProductPricing:LPP,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicProductPricing,,LPP,lreg,,
a9Y3B000000CcBIUA0,false,ccLogicPromotionFilter:LPROF,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicPromotionFilter,,LPROF,lreg,,
a9Y3B000000CcBJUA0,false,ccLogicStorefrontIsAccessible:LSIA,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicStorefrontIsAccessible,,LSIA,lreg,,
a9Y3B000000CcBKUA0,false,ccLogicStorefrontRouteFailure:LSRF,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicStorefrontRouteFailure,,LSRF,lreg,,
a9Y3B000000CcCdUAK,false,DefaultStore:adjustService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCeUAK,false,DefaultStore:DynCatApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Category,,,,,
a9Y3B000000CcCfUAK,false,DefaultStore:DynCatDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCgUAK,false,DefaultStore:DynCatService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcChUAK,false,DefaultStore:DynMenuApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Menu,,,,,
a9Y3B000000CcCiUAK,false,DefaultStore:DynMenuDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCjUAK,false,DefaultStore:DynMenuService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCkUAK,false,DefaultStore:DynThemeApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_DynamicTheme,,,,,
a9Y3B000000CcClUAK,false,DefaultStore:DynThemeDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCmUAK,false,DefaultStore:DynThemeService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCnUAK,false,DefaultStore:EffAccountApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_EffectiveAccount,,,,,
a9Y3B000000CcCoUAK,false,DefaultStore:EffAccountDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCpUAK,false,DefaultStore:EffAccountService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCqUAK,false,DefaultStore:InvcHKApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Invoice,,,,,
a9Y3B000000CcCrUAK,false,DefaultStore:InvcHKDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCsUAK,false,DefaultStore:InvcHKService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCtUAK,false,DefaultStore:OrderHKApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Order,,,,,
a9Y3B000000CcCuUAK,false,DefaultStore:OrderHKDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCvUAK,false,DefaultStore:OrderHKService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCwUAK,false,DefaultStore:OutOrderCancelApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_api_OutboundOrderCancel,,,,,
a9Y3B000000CcBLUA0,false,ccLogicSubscPageNotFound:LSPNF,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicSubscPageNotFound,,LSPNF,lreg,,
a9Y3B000000CcBMUA0,false,ccLogicUserCreateUser:LUSNW,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccLogicUserCreateUser,,LUSNW,lreg,,
a9Y3B000000CcBNUA0,false,ccServiceAccount:SACC,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceAccount,,SACC,sreg,,
a9Y3B000000CcBOUA0,false,ccServiceAddress:SAD,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceAddress,,SAD,sreg,,
a9Y3B000000CcBPUA0,false,ccServiceAddressBook:SADB,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceAddressBook,,SADB,sreg,,
a9Y3B000000CcBQUA0,false,ccServiceCart:SC,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceCart,,SC,sreg,,
a9Y3B000000CcBRUA0,false,ccServiceCartItemGroup:SCG,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceCartItemGroup,,SCG,sreg,,
a9Y3B000000CcBSUA0,false,ccServiceCategory:SCT,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceCategory,,SCT,sreg,,
a9Y3B000000CcBTUA0,false,ccServiceContact:SCON,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceContact,,SCON,sreg,,
a9Y3B000000CcBUUA0,false,ccServiceCoupon:SCOUP,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceCoupon,,SCOUP,sreg,,
a9Y3B000000CcBVUA0,false,ccServiceInvoice:SINV,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceInvoice,,SINV,sreg,,
a9Y3B000000CcBWUA0,false,ccServiceMenu:SMNU,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceMenu,,SMNU,sreg,,
a9Y3B000000CcBXUA0,false,ccServiceOrder:SO,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceOrder,,SO,sreg,,
a9Y3B000000CcBYUA0,false,ccServiceProduct:SP,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceProduct,,SP,sreg,,
a9Y3B000000CcBZUA0,false,ccServicePromotion:SPRO,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServicePromotion,,SPRO,sreg,,
a9Y3B000000CcBaUAK,false,ccServiceRelatedProduct:SRP,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceRelatedProduct,,SRP,sreg,,
a9Y3B000000CcBbUAK,false,ccServiceSeller:SEL,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceSeller,,SEL,sreg,,
a9Y3B000000CcBcUAK,false,ccServiceSpec:SSPC,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceSpec,,SSPC,sreg,,
a9Y3B000000CcBdUAK,false,ccServiceStorefrontAssociation:SASC,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceStorefrontAssociation,,SASC,sreg,,
a9Y3B000000CcBeUAK,false,ccServiceSubProdTerm:SSPT,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,ccServiceSubProdTerm,,SSPT,sreg,,
a9Y3B000000CcCxUAK,false,DefaultStore:OutOrderCancelDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCyUAK,false,DefaultStore:OutOrderCancelService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcCzUAK,false,DefaultStore:PricingApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Pricing,,,,,
a9Y3B000000CcD0UAK,false,DefaultStore:PricingDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcD1UAK,false,DefaultStore:PricingService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcD2UAK,false,DefaultStore:PromotionsApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Promotion,,,,,
a9Y3B000000CcD3UAK,false,DefaultStore:PromotionsDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcD4UAK,false,DefaultStore:PromotionsService,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
a9Y3B000000CcD5UAK,false,DefaultStore:PymtHKApi,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,cc_hk_Payment,,,,,
a9Y3B000000CcD6UAK,false,DefaultStore:PymtHKDao,USD,00D3B0000008umVUAQ,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,005G0000007ZFITIA4,2017-03-01 05:34:55,,,,,,,,
